OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;osm_id;fclass;population
117;Mospyne;Моспине;UA1410160500;Mospyne;Mospynska;Моспинська;Donetska;Донецька;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1410160500;38,080680520000001;47,877943739999999;256613664;town;10753
118;Novoazovsk;Новоазовськ;UA1423610100;Novoazovsk;Novoazovska;Новоазовська;Novoazovskyi;Новоазовський;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1423610100;38,085589460000001;47,115952059999998;256616567;town;11950
119;Novohrodivka;Новогродівка;UA1413600000;Novohrodivka;Novohrodivska;Новогродівська;Novohrodivska;Новогродівська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1413600000;37,340992460000002;48,200325479999997;256613987;town;17473
120;Dokuchaievsk;Докучаєвськ;UA1411600000;Dokuchaievsk;Dokuchaievska;Докучаєвська;Dokuchaievska;Докучаєвська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1411600000;37,677401080000003;47,748718320000002;256613827;town;23726
121;Zuhres;Зугрес;UA1415070500;Zuhres;Zuhreska;Зугреська;Khartsyzka;Харцизька;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1415070500;38,264672060000002;48,011915580000000;256614050;town;167
122;Volnovakha;Волноваха;UA1421510100;Volnovakha;Volnovaska;Волноваська;Volnovaskyi;Волноваський;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1421510100;37,502427179999998;47,600255879999999;256615117;town;23442
123;Krasnohorivka;Красногорівка;UA1423310400;Krasnohorivka;Krasnohorivska;Красногорівська;Marinskyi;Мар'їнський;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1423310400;37,501050790000001;48,009225489999999;256617191;town;16003
124;Kurakhove;Курахове;UA1423310600;Kurakhove;Kurakhivska;Курахівська;Marinskyi;Мар'їнський;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1423310600;37,285119790000003;47,985848259999997;70950474;town;20224
125;Bakhmut;Бахмут;UA1410300000;Bakhmut;Bakhmutska;Бахмутська;Bakhmutska;Бахмутська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1410300000;38,001966580000001;48,595223230000002;256613679;town;83146
126;Zalizne;Залізне;UA1411270300;Zalizne;Zalizna;Залізна;Toretska;Торецька;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1411270300;37,894317860000001;48,366834330000003;256613804;town;1637
