OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin2Name_ru;admin2Pcode;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;FID;osm_id;fclass;population
155;Peresichne;Пересічне;UA6322056500;Peresichne;Peresichanska;Пересічанська;Derhachivskyi;Дергачівський;Дергачевский;UA63220;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6322056500;35,975543250000001;50,026442269999997;10692;337537126;village;7176
156;Katerynivka;Катеринівка;UA4410165900;Katerynivka;Yuvileina;Ювілейна;Luhanska;Луганська;Луганский;UA44101;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4410165900;39,183667819999997;48,553342829999998;371;256614225;village;185
157;Tsybuliv;Цибулів;UA7123455500;Tsybuliv;Tsybulivska;Цибулівська;Monastyryshchenskyi;Монастирищенський;Монастырищенский;UA71234;Cherkaska;Черкаська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);7123455500;29,848040180000002;49,073779459999997;18168;337573271;village;3800
158;Yashchykove;Ящикове;UA4423657700;Yashchykove;Yashchykivska;Ящиківська;Perevalskyi;Перевальський;Перевальский;UA44236;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4423657700;38,743406479999997;48,409646570000000;22378;337599265;village;1877
159;Bilovodsk;Біловодськ;UA4420655100;Bilovodsk;Bilovodska;Біловодська;Bilovodskyi;Біловодський;Беловодский;UA44206;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4420655100;39,591357719999998;49,206870070000001;17332;337567695;village;8313
160;Bilohorivka;Білогорівка;UA4423855300;Bilohorivka;Bilohorivska;Білогорівська;Popasnianskyi;Попаснянський;Попаснянский;UA44238;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4423855300;38,245953479999997;48,926987990000001;580;256614801;village;134
161;Kripenskyi;Кріпенський;UA4410346500;Kripenskyi;Kripenska;Кріпенська;Antratsytska;Антрацитська;Антрацитовский;UA44103;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4410346500;39,053663139999998;48,075418589999998;24161;337660069;village;6941
162;Sakhnovshchyna;Сахновщина;UA6324855100;Sakhnovshchyna;Sakhnovshchynska;Сахновщинська;Sakhnovshchynskyi;Сахновщинський;Сахновщинский;UA63248;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6324855100;35,874271690000000;49,148703410000003;17636;337569695;village;8625
163;Dubivskyi;Дубівський;UA4410345900;Dubivskyi;Dubivska;Дубівська;Antratsytska;Антрацитська;Антрацитовский;UA44103;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4410345900;39,109237290000003;48,060895389999999;24295;337660861;village;4074
164;Mankivka;Маньківка;UA7123155100;Mankivka;Mankivska;Маньківська;Mankivskyi;Маньківський;Маньковский;UA71231;Cherkaska;Черкаська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);7123155100;30,334495839999999;48,963373089999997;14408;337553511;village;151
